nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Ayam Goreng Ny Suharti, Bekasi","Ayam & bebek, Aneka nasi",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/e7MJv,0,https://api.jajanbekasi.web.id/foto/47_Ayam_Goreng_Ny_Suharti_Bekasi.jpg,cached_disk
"Es Teler 77, Metropolitan Mall","Aneka nasi, Bakmie, Sweets, Ayam & bebek, Bakso & soto, Jajanan, Cepat saji",Bekasi Selatan,50rb - 100rb,4.5,,https://gofood.link/u/9KaO,0,,
"Warung Tekko, Mega Bekasi Hypermall","Aneka nasi, Seafood",Bekasi Selatan,50rb - 100rb,0.0,"Warung Tekko Adalah Restaurant Keluarga Yang Menawarkan Menu-Menu Traditional Khas Nusantara Dengan Cita Rasa Asli Indonesia. Menu Yang Disediakan Mulai Dari Daging, Iga, Ayam, Seafood, Sayuran dan Aneka Pilihan Minuman Hangat Dan Dingin. Hampir Semua Menu Dikombinasikan Dengan Sambal Penyet Khas Tekko Dengan Level Kepedasan Mulai Tidak Pedas/Manis, Sedang, Pedas, Super Pedas, Sambal Ijo Hingga Sambal Gledek.",https://gofood.link/u/zGmOn,0,,
"HokBen, Mega Bekasi Hypermall","Cepat saji, Jepang",Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/3dNNy,0,,
"Iga Bakar Mbok Giyah, Bekasi","Aneka nasi, Ayam & bebek",Bekasi Selatan,25rb - 50rb,4.7,,https://gofood.link/u/210y,0,,
"Mochi Mochio, Mega Bekasi Hypermall",Jajanan,Bekasi Selatan,50rb - 100rb,4.3,,https://gofood.link/u/xOrY,0,,
"Gokana Ramen & Teppan, Mega Bekasi Hypermall lt. UG","Jepang, Aneka nasi, Bakmie",Bekasi Selatan,50rb - 100rb,4.6,Periode 17 juni s/d 02 juli akan dikenakan biaya surcharge 10% dari total transaksi sebelum biaya delivery,https://gofood.link/a/yM9Bxk3,0,,
"Dunkin' Donuts, Mall Metropolitan","Roti, Kopi, Sweets",Bekasi Selatan,50rb - 100rb,4.1,,https://gofood.link/u/dbzw9,0,,
"Imperial Kitchen & Dimsum, Mega Bekasi","Chinese, Aneka nasi, Ayam & bebek",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/a/yM96XQu,0,https://api.jajanbekasi.web.id/foto/079_Imperial_Kitchen_Dimsum_Mega_Bekasi.jpg,cached_disk
A&W Mega Bekasi 1 UG,Cepat saji,Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/OVMp,0,https://api.jajanbekasi.web.id/foto/077_AW_Mega_Bekasi_1_UG.jpg,cached_disk
"Steak 21, Mega Bekasi Hypermall",Barat,Bekasi Selatan,>100rb,4.6,,https://gofood.link/u/JxyL,0,,
"Solaria, Mega Bekasi 2","Chinese, Aneka nasi",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/8yLQW,0,,
"KFC Box, Mega Bekasi",Cepat saji,Bekasi Selatan,50rb - 100rb,0.0,,https://gofood.link/u/Kjzyj,0,,
"KFC, Mega Bekasi Hypermall",Cepat saji,Bekasi Selatan,50rb - 100rb,4.4,,https://gofood.link/u/BwOQv,0,,
"Dunkin' Donuts, Mega Mall Bekasi","Roti, Kopi, Sweets",Bekasi Selatan,>100rb,4.1,,https://gofood.link/u/J41lw,0,,
"KFC, Grand Mall Bekasi",Cepat saji,Medan Satria,50rb - 100rb,4.8,,https://gofood.link/u/v2dPZ,0,https://api.jajanbekasi.web.id/foto/076_KFC_Grand_Mall_Bekasi.jpg,cached_disk
"KOI Thé, Metropolitan Mall Bekasi","Minuman, Sweets, Kopi",Bekasi Selatan,25rb - 50rb,4.8,,https://gofood.link/u/e7eK8,0,https://api.jajanbekasi.web.id/foto/064_KOI_Thé_Metropolitan_Mall_Bekasi.jpg,cached_disk
"Solaria, Mega Bekasi 4",Aneka nasi,Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/VY7r,0,,
"Solaria, Mega Bekasi 3",Aneka nasi,Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/xYjAq,0,,
"Amanda Brownies, Kalimalang",Sweets,Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/bwneg,0,,
"Lapis Talas Arasari, Gerai Kalimalang Bekasi","Roti, Jajanan, Sweets",Bekasi Selatan,50rb - 100rb,4.1,,https://gofood.link/u/O2M3Z,0,,
"Smiling Kitchen Sate & Sop, Villa Taman Kartini","Ayam & bebek, Jajanan, Kopi",Bekasi Timur,25rb - 50rb,0.0,,https://gofood.link/u/PZZNY,0,,
"Roti Unyil Venus, Kalimalang","Roti, Sweets",Bekasi Selatan,50rb - 100rb,4.2,,https://gofood.link/u/LeykV,0,,
"Ayam, Bebek, Ikan & Iga Bekrot, Kayuringin",Ayam & bebek,Bekasi Selatan,25rb - 50rb,4.6,,https://gofood.link/a/yMa3o6j,0,,
"Chatime x Cupbop, Ay Bekasi","Minuman, Kopi, Sweets",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/g3ZpR,0,,
"Seblak & Ceker Mercon, Perumnas 1","Jajanan, Ayam & bebek, Bakso & soto",Bekasi Barat,10rb - 25rb,4.5,,https://gofood.link/u/912xg,0,,
"Ayam Kampung Mbak Maya, Jl Mochtar Tabrani",Ayam & bebek,Bekasi Utara,25rb - 50rb,4.8,,https://gofood.link/u/KOvej,0,https://api.jajanbekasi.web.id/foto/084_Ayam_Kampung_Mbak_Maya_Jl_Mochtar_Tabrani.jpg,cached_disk
"Waroeng Steak And Shake, Bekasi Timur",Barat,Bekasi Timur,50rb - 100rb,4.7,,https://gofood.link/u/rqL82,0,,
